Year,Location,Point,Mean,Median,LL,UL
1990,High SDI,0.058161249,0.063128159,0.06263708,0.050230293,0.078890385
2000,High SDI,0.054274526,0.056842102,0.056697394,0.048496457,0.065492126
2010,High SDI,0.051505945,0.053284528,0.053156643,0.046246211,0.061053803
2019,High SDI,0.062168007,0.064040731,0.063977308,0.057151084,0.071672433
2023,High SDI,0.127095531,0.129193873,0.129172941,0.115191101,0.142933294
1990,High-middle SDI,0.084970584,0.100083057,0.098615812,0.07064125,0.137359485
2000,High-middle SDI,0.103937183,0.114671035,0.114079906,0.090286354,0.143307121
2010,High-middle SDI,0.108683804,0.117440935,0.116882957,0.093911626,0.143573656
2019,High-middle SDI,0.08587564,0.093869155,0.093425159,0.072896512,0.117507572
2023,High-middle SDI,0.082319897,0.09265574,0.091847969,0.070707174,0.11850125
1990,Low SDI,0.105725083,0.13183767,0.130326372,0.104151889,0.169329028
2000,Low SDI,0.102711274,0.12693957,0.126029552,0.093675372,0.166165352
2010,Low SDI,0.086207422,0.106413704,0.105339042,0.079552743,0.139813263
2019,Low SDI,0.100440423,0.120481397,0.119266552,0.093088575,0.15556503
2023,Low SDI,0.079878236,0.1035853,0.10253998,0.073191136,0.141712898
1990,Low-middle SDI,0.084139432,0.110215317,0.108359385,0.076536699,0.15358997
2000,Low-middle SDI,0.090696612,0.112449635,0.1110291,0.08221768,0.150608901
2010,Low-middle SDI,0.097726492,0.116421819,0.11545393,0.086631801,0.151979503
2019,Low-middle SDI,0.109117802,0.127638009,0.126870917,0.098393256,0.160281509
2023,Low-middle SDI,0.131044827,0.152309888,0.15149718,0.114992371,0.193633694
1990,Middle SDI,0.08481632,0.1045563,0.10314683,0.071544496,0.146836302
2000,Middle SDI,0.085832938,0.101140811,0.0999936,0.07388343,0.134577407
2010,Middle SDI,0.089227909,0.102064724,0.100982427,0.079423253,0.129257663
2019,Middle SDI,0.082117729,0.097836504,0.09683919,0.074602352,0.126207331
2023,Middle SDI,0.072742512,0.09048631,0.089013421,0.064150432,0.125264516
